City,Lon,Lat,Temperature,Humidity,Cloudiness,Wind Speed
Blythe,-114.59,33.61,21.68,22,1,3.55
Port Elizabeth,-74.98,39.31,26.69,44,40,1.5
Kieta,155.63,-6.22,27.75,75,99,2.29
Sinegorye,150.53,62.09,2.85,81,63,1.41
Nikolskoye,30.79,59.7,11.55,71,20,1.0
Airai,125.41,-8.93,23.25,72,80,3.33
Puerto Ayora,-90.35,-0.74,26.77,65,75,8.2
Cape Town,18.42,-33.93,15.08,72,20,9.8
Nanchang,115.89,28.68,18.25,83,0,3.31
Binzhou,117.96,37.38,21.11,38,100,3.41
Hambantota,81.12,6.12,27.0,100,20,2.6
Arlit,7.39,18.74,37.35,11,79,2.23
Tuatapere,167.69,-46.13,8.33,95,100,5.36
Noumea,166.46,-22.28,19.0,93,90,1.5
Sitka,-99.65,37.17,27.78,62,0,5.81
Dudinka,86.18,69.41,-2.0,86,40,2.0
Cabo San Lucas,-109.91,22.89,28.6,44,5,2.1
Atuona,-139.03,-9.8,27.75,67,60,5.04
San Patricio,-56.83,-26.98,19.55,98,90,1.15
Bethel,-161.76,60.79,10.26,87,90,5.7
Palmer,139.16,-34.85,12.31,90,46,4.92
Lipin Bor,37.97,60.26,9.95,84,50,2.2
Mahebourg,57.7,-20.41,21.24,64,75,5.7
San Nicolas,-88.33,14.94,25.55,68,99,1.23
Avarua,-159.78,-21.21,24.0,73,5,3.6
Vardo,-77.74,39.62,26.33,54,75,3.1
Liku,119.89,-0.73,28.95,73,51,3.66
New Norfolk,147.06,-42.78,7.28,81,40,1.5
Whitehills,-2.57,57.68,9.34,76,90,2.1
Mitzic,11.55,0.78,23.35,95,100,0.77
Mataura,168.86,-46.19,8.33,95,78,2.18
Hamilton,-79.87,43.26,22.79,49,75,1.78
Torbay,-52.73,47.66,3.73,93,90,6.2
Channel-Port aux Basques,-59.14,47.57,6.55,74,84,6.25
Hithadhoo,73.08,-0.6,28.95,76,100,4.6
Talnakh,88.39,69.49,-2.0,86,40,2.0
Saint George,22.34,39.45,20.0,68,75,2.6
Ushuaia,-68.31,-54.81,-1.0,74,75,6.2
Batemans Bay,150.18,-35.71,5.16,70,0,1.34
Dhanbad,86.43,23.8,35.05,12,0,2.89
Cobija,-68.77,-11.02,33.0,55,75,5.1
High Level,-117.13,58.52,19.0,45,75,3.6
Sao Filipe,-24.5,14.9,23.25,77,0,5.39
Ahipara,173.16,-35.17,17.22,100,97,11.57
Alcains,-7.46,39.92,23.25,27,0,3.58
Tiksi,128.87,71.64,-3.55,90,25,1.75
Zabid,44.5,14.2,21.95,57,64,1.97
Cristalina,-47.61,-16.77,29.85,39,6,2.18
Hobyo,48.53,5.35,28.85,74,41,9.54
Wewak,143.63,-3.55,25.05,87,71,1.64
Linares,-71.6,-35.85,16.15,69,51,2.64
Puerto Triunfo,-74.64,5.87,29.75,39,100,1.9
Provideniya,-173.23,64.42,2.65,93,100,1.08
Puerto Escondido,-97.07,15.86,34.75,44,57,3.2
Beloha,45.06,-25.17,19.25,76,1,5.64
Prabumulih,104.19,-3.5,23.85,97,100,1.32
Maromitsa,48.01,59.87,10.25,90,3,2.82
Ambon,-2.56,47.55,16.16,55,75,4.6
Anadyr,177.51,64.73,5.0,80,0,1.06
Batagay,134.64,67.65,4.95,52,5,2.19
Ponta do Sol,-46.0,-20.63,24.65,52,0,0.35
Inverness,-4.23,57.48,9.5,81,75,1.5
Vallenar,-70.76,-28.58,18.45,45,0,3.32
Methoni,21.7,36.82,20.87,68,20,8.21
Polson,-114.16,47.69,15.99,44,40,2.6
East London,27.91,-33.02,17.0,77,0,5.7
Gat,-16.54,14.69,27.0,54,0,7.2
Cine,28.06,37.61,22.85,60,0,1.5
Haddonfield,-75.04,39.89,26.75,41,75,4.6
Nome,-94.42,30.04,30.91,49,40,5.1
Bathsheba,-59.52,13.22,30.0,66,40,6.7
Namatanai,152.44,-3.66,25.15,86,100,2.45
Oranjemund,16.43,-28.55,13.65,89,25,8.97
Saint-Paul,1.9,45.22,14.64,82,90,5.7
Klaksvik,-6.59,62.23,4.0,69,94,6.2
El Tigre,-64.25,8.89,30.55,52,100,2.94
Butwal,83.45,27.7,22.45,33,0,2.53
Oga,5.65,8.18,28.45,67,100,2.65
Spearfish,-103.86,44.49,8.92,100,90,4.1
Poum,20.71,41.28,17.0,77,75,1.5
Itarema,-39.92,-2.92,28.35,83,100,3.66
Coquimbo,-71.34,-29.95,17.48,63,20,5.7
Merke,73.19,42.87,15.05,53,1,2.64
Aklavik,-135.01,68.22,12.66,70,75,3.6
Bredasdorp,20.04,-34.53,14.75,72,100,4.1
Marstal,10.52,54.86,12.98,66,0,5.1
Shima,136.82,34.34,22.0,73,0,4.6
Jamestown,138.6,-33.21,9.95,87,20,4.2
Linxia,103.21,35.6,4.65,76,23,0.18
Del Rio,-100.9,29.36,31.15,53,62,8.49
Lompoc,-120.46,34.64,16.59,51,90,4.6
Iqaluit,-68.52,63.75,1.82,80,90,7.2
Umm Lajj,37.27,25.02,30.65,63,24,2.85
Sandy Bay,147.33,-42.9,7.37,81,40,1.5
Moose Factory,-80.61,51.26,12.0,34,1,5.7
Kodiak,-94.76,39.95,23.31,78,90,4.1
Turbat,63.05,26.0,35.95,22,0,3.23
Kasane,25.16,-17.8,19.0,34,0,3.6
Vaini,74.49,15.34,27.65,81,45,1.49
Saldanha,-6.55,41.42,23.25,42,4,5.16
Salta,-65.41,-24.79,19.0,52,40,4.1
Nevelsk,141.86,46.67,6.0,93,75,5.0
Iskateley,53.15,67.68,2.65,98,100,4.79
Kahului,-156.47,20.89,25.23,54,1,2.1
Ancud,-73.83,-41.87,9.0,81,75,2.1
Upernavik,-56.15,72.79,-0.55,94,98,5.04
Hanumangarh,74.33,29.58,37.45,12,0,2.49
Bend,-121.32,44.06,14.67,59,75,3.1
Calama,-68.93,-22.46,18.64,14,20,14.4
Vila Velha,-38.6,-3.71,29.78,58,40,7.2
Los Llanos de Aridane,-17.92,28.66,21.34,83,20,6.7
Kaohsiung,120.31,22.62,26.38,94,75,2.6
Llata,-76.82,-9.55,15.65,38,62,6.76
Sisimiut,-53.67,66.94,4.35,72,33,4.72
Namibe,12.15,-15.19,22.15,77,0,4.0
Teahupoo,-149.27,-17.83,23.0,83,75,4.1
Coihaique,-72.07,-45.58,6.65,75,75,1.0
Suksun,57.4,57.15,15.05,89,100,6.79
Muriti,32.93,-1.99,24.0,73,20,2.88
Ilulissat,-51.1,69.22,7.0,65,40,1.5
Kavaratti,72.64,10.57,30.05,74,37,4.41
Vostok,135.83,46.45,12.25,88,100,4.8
Bud,6.91,62.91,4.89,70,75,3.1
Huarmey,-78.15,-10.07,17.75,92,99,6.62
Chilca,-72.34,-13.22,20.0,26,40,2.1
Nantucket,-70.1,41.28,21.05,68,1,7.2
Lebu,38.73,8.96,16.25,51,85,2.18
Cherskiy,161.3,68.75,2.35,90,100,2.65
Haines Junction,-137.51,60.75,15.35,43,1,5.89
Alugan,125.48,12.22,25.65,90,81,1.47
Jacareacanga,-57.76,-6.22,32.75,50,69,0.98
Kurilsk,147.88,45.23,10.25,73,0,5.01
Narsaq,-46.05,60.91,16.0,26,40,4.6
Sur,59.53,22.57,33.85,40,0,4.18
Thompson,-97.86,55.74,17.0,42,90,5.7
Karasjok,25.52,69.47,8.0,87,75,10.8
Chifeng,118.96,42.27,10.15,47,0,3.57
Opunake,173.86,-39.45,16.67,82,92,1.34
College,-147.8,64.86,15.71,41,90,3.1
Atbasar,68.36,51.81,13.85,37,6,2.98
Guerrero Negro,-114.04,27.97,16.55,81,3,8.64
Yilan,121.75,24.75,25.8,88,75,0.5
Luleburgaz,27.36,41.4,18.93,72,0,4.6
Lorengau,147.27,-2.02,25.55,87,69,1.08
Sept-Iles,-66.38,50.2,11.06,40,40,7.7
Hasaki,140.83,35.73,19.86,72,0,3.6
Lingao,109.69,19.91,28.45,83,91,2.59
Chimore,-65.13,-16.98,29.45,52,15,1.14
Vangaindrano,47.6,-23.35,18.05,89,13,1.36
Ishigaki,124.16,24.34,25.65,88,100,6.59
Amahai,129.0,-3.31,26.11,93,100,2.74
Tasiilaq,-37.64,65.61,1.0,80,20,5.7
Portland,-122.67,45.52,16.18,72,90,3.1
Leningradskiy,178.42,69.38,-0.15,92,100,1.06
Auburndale,-81.79,28.07,34.38,34,1,2.6
Moses Lake,-119.28,47.13,23.2,29,1,4.1
Yar-Sale,70.83,66.83,1.75,96,94,2.86
Malanje,16.35,-9.54,21.25,37,22,1.32
Almaznyy,40.04,48.03,19.0,63,20,2.0
Muisne,-80.02,0.61,27.0,88,90,4.1
Castro,-73.76,-42.48,9.0,81,75,2.1
Lagoa,-8.45,37.14,27.75,31,0,7.7
Dingle,122.67,11.0,25.45,83,58,1.36
Poli,13.24,8.48,31.05,44,75,0.61
Pudozh,36.54,61.81,8.75,84,22,2.61
Brae,-1.35,60.4,6.0,65,98,5.7
Mehamn,27.85,71.03,4.53,80,0,12.3
Nefteyugansk,72.61,61.09,11.0,100,0,3.0
Massakory,15.73,13.0,36.25,24,80,3.46
Saint-Joseph,6.97,43.56,16.53,82,97,1.5
Port Hedland,118.58,-20.31,19.0,55,0,4.1
Antofagasta,-70.4,-23.65,19.0,55,40,5.1
Mackay,-115.58,53.65,20.0,34,20,1.5
Geraldton,-86.95,49.72,14.0,28,75,1.5
Longyearbyen,15.63,78.22,-1.0,50,0,2.6
Casper,-106.31,42.87,11.34,87,90,3.6
Pevek,170.27,69.7,0.35,95,98,3.58
Bar Bigha,85.74,25.22,32.85,62,0,7.42
Muzhi,64.7,65.4,8.75,81,29,4.2
Nanortalik,-45.24,60.14,5.45,73,0,3.21
Carnarvon,22.13,-30.97,12.55,60,93,3.09
Maceio,-35.74,-9.67,29.0,58,40,5.7
Tilichiki,166.1,60.47,5.95,74,81,2.57
Doka,35.76,13.52,34.25,34,81,6.97
Saint-Pierre,4.24,48.95,16.93,63,0,3.6
Victoria Point,153.3,-27.58,11.13,57,0,3.1
Taywarah,64.42,33.35,19.55,22,0,3.17
Montepuez,39.0,-13.13,21.25,69,16,2.7
Oussouye,-16.54,12.49,28.53,78,0,5.1
Constitucion,-104.67,23.99,28.16,25,90,3.6
Thiers,3.55,45.86,16.63,63,75,3.1
Buala,159.59,-8.15,27.55,75,99,2.87
Sindor,51.9,62.87,11.85,95,95,3.49
Tautira,-149.15,-17.73,23.0,83,75,4.1
Tura,90.21,25.52,26.95,71,0,2.52
Comodoro Rivadavia,-67.48,-45.87,13.0,43,20,6.7
Altay,88.13,47.83,5.95,64,90,2.18
Port Lincoln,135.86,-34.72,15.55,75,99,10.5
Kurmanayevka,52.07,52.51,17.85,82,100,2.02
Zaida,44.81,13.17,33.15,31,35,0.57
Cidreira,-50.22,-30.17,20.45,77,98,0.84
Camacupa,17.48,-12.02,15.15,50,77,1.37
Roebourne,117.15,-20.77,24.85,30,0,3.65
Alofi,-169.92,-19.06,22.0,83,40,2.1
Bambanglipuro,110.28,-7.95,27.25,83,20,6.25
Pangody,74.49,65.85,1.45,94,46,1.8
Batagay-Alyta,130.41,67.8,-2.65,86,6,1.33
Boleslawiec,15.57,51.26,18.14,65,97,0.89
Aberdeen,-98.49,45.47,13.45,76,90,7.2
Yulara,130.99,-25.24,9.0,61,0,2.6
Turtas,69.13,58.94,16.85,62,93,4.62
Salalah,54.1,17.01,30.0,79,20,4.1
Codrington,153.24,-28.95,10.1,57,0,3.1
Tselinnoye,34.18,45.9,20.55,57,0,1.97
Sambava,50.17,-14.27,19.75,90,12,1.82
Souillac,-0.6,45.6,18.01,68,75,6.7
Moctezuma,-109.68,29.81,23.95,17,0,6.38
Bonthe,-12.5,7.53,28.65,73,44,4.68
Waingapu,120.26,-9.65,23.45,84,100,4.66
Portree,-6.19,57.41,9.17,77,58,3.58
Bosaso,49.18,11.28,31.85,69,14,1.49
Bambous Virieux,57.76,-20.34,21.3,64,75,5.7
Yartsevo,32.69,55.07,15.15,92,65,2.95
Mwinilunga,24.43,-11.73,15.95,79,100,1.37
Baykit,96.39,61.68,-1.65,77,31,1.64
Maun,23.42,-19.99,20.0,32,0,2.1
Biltine,20.93,14.53,38.15,18,86,7.35
Koslan,48.9,63.46,10.05,93,92,2.68
Vao,26.19,59.1,10.25,82,100,0.46
Kundgol,75.25,15.25,27.05,71,11,4.25
Atar,-13.05,20.52,40.95,11,0,4.85
Pimentel,-45.5,-3.7,28.15,89,43,2.14
Vila Franca do Campo,-25.43,37.72,19.0,77,75,3.6
Port Lavaca,-96.63,28.61,29.73,62,40,5.1
Eureka,-124.16,40.8,12.07,100,90,2.1
Trincomalee,81.23,8.58,27.65,77,52,2.6
Sabha,14.43,27.03,35.15,14,0,2.29
Mbandaka,18.26,0.05,23.45,94,93,1.04
Pasir Gudang,103.88,1.46,28.13,79,75,2.1
Visnes,5.22,59.36,8.47,61,40,10.3
Ibra,58.55,22.69,33.55,19,0,4.88
Teya,-89.07,21.05,34.51,46,75,5.1
Samarai,150.67,-10.62,22.75,94,78,1.37
Wasilla,-149.44,61.58,12.03,66,1,1.5
Shush,89.45,55.6,5.65,70,47,3.52
Bandarbeyla,50.81,9.49,29.35,71,97,6.49
Murdochville,-65.49,48.96,10.15,40,61,6.52
Bom Jesus,-44.36,-9.08,32.25,41,17,2.74
Cabedelo,-34.84,-6.97,28.0,78,40,4.1
Chokurdakh,147.9,70.62,-0.25,97,100,3.07
Kegums,24.72,56.75,13.74,76,75,5.1
Kaitangata,169.85,-46.28,10.56,84,88,0.89
Hailey,-114.32,43.52,14.53,67,40,5.1
Almeirim,-8.63,39.21,18.74,68,20,7.7
Nishihara,139.53,35.74,22.58,60,75,1.91
Filingue,3.32,14.35,41.25,16,81,4.42
Vila,8.4,45.18,15.36,87,75,1.5
Tucuman,-70.89,-17.17,18.85,29,58,3.39
Tocopilla,-70.2,-22.09,15.95,90,57,5.85
Shimoda,138.93,34.7,18.89,76,94,0.89
Te Anau,167.72,-45.41,7.65,97,98,1.3
Aleksandrovskoye,85.39,56.74,9.25,56,0,4.0
Fortuna,-1.13,38.18,23.63,34,0,4.1
Mossendjo,12.72,-2.95,22.75,94,64,0.99
Arman,150.17,59.7,5.35,76,1,1.29
Shakawe,21.84,-18.36,17.15,29,0,2.05
Diu,70.98,20.71,27.65,81,0,4.89
Aksaray,34.03,38.37,21.94,28,0,2.6
Tomatlan,-105.25,19.93,29.65,63,99,3.87
Sainte-Maxime,6.64,43.31,17.37,93,97,1.0
Ketchikan,-131.65,55.34,14.45,63,1,5.1
Cerro Largo,-54.74,-28.15,17.0,100,75,5.1
Deputatskiy,139.9,69.3,-5.55,89,0,0.67
Mount Isa,139.49,-20.73,14.0,44,17,5.1
Kamenka,44.05,53.19,20.0,52,2,3.15
Clyde River,-68.59,70.47,1.0,92,75,5.1
Khani,42.96,41.96,18.0,77,0,2.1
Halifax,-63.58,44.65,9.64,87,90,4.1
Marawi,124.29,8.0,25.0,85,99,2.24
Yarada,83.27,17.65,25.0,88,90,5.1
Sao Joao da Barra,-41.05,-21.64,26.96,61,40,4.6
Port Macquarie,152.91,-31.43,8.45,52,0,2.6
Domanivka,30.98,47.63,20.55,63,35,5.12
Walvis Bay,14.51,-22.95,15.0,82,0,1.5
Puri,112.45,-7.54,27.0,78,95,2.6
Broome,1.45,52.47,13.2,93,40,1.0
Caraquet,-64.94,47.79,13.0,47,75,4.6
Pakxan,103.66,18.39,23.15,95,100,1.05
Pisco,-76.2,-13.71,20.89,30,0,5.1
Liverpool,-2.98,53.41,10.8,87,75,4.6
Ust-Nera,143.24,64.57,2.15,66,10,1.91
Krasne,24.61,49.91,20.0,82,40,3.34
Myaundzha,147.18,63.05,4.25,70,50,1.44
Medina del Campo,-4.92,41.31,22.01,43,0,3.6
Honningsvag,25.97,70.98,5.0,86,75,6.2
Soyo,12.37,-6.13,25.85,82,77,3.1
Acapulco,-99.88,16.86,30.0,79,75,4.1
Srednekolymsk,153.71,67.46,3.95,74,89,4.26
Mayo,-135.9,63.59,23.0,28,40,3.6
Hirado,129.49,33.32,19.07,100,90,4.1
Homer,-151.54,59.64,9.52,62,75,5.1
San Juan,-68.53,-31.54,11.35,19,73,1.8
Tuktoyaktuk,-133.03,69.44,4.0,84,75,7.7
Nouakchott,-15.98,18.08,21.0,77,0,9.3
Salinopolis,-47.36,-0.61,28.65,71,100,3.71
Kattivakkam,80.32,13.22,30.77,79,20,3.6
Mardin,40.72,37.32,22.0,40,0,3.1
Rogovskaya,38.74,45.73,16.75,77,0,2.1
Mananjary,46.8,-19.16,17.45,85,93,3.54
Avera,-82.53,33.19,35.78,34,1,4.6
Tarakan,117.63,3.3,27.0,88,20,0.5
Moron,-68.2,10.49,32.65,54,100,0.83
Aloleng,119.78,16.13,29.85,66,100,2.22
Casino,153.05,-28.86,10.12,65,0,2.1
Aykhal,111.51,65.95,9.0,61,0,3.0
Rawson,-65.11,-43.3,13.0,43,20,7.7
Kozhva,57.05,65.11,13.35,80,94,3.46
Yokadouma,15.05,3.52,22.95,88,100,1.05
Meulaboh,96.13,4.14,27.85,79,100,2.37
Paamiut,-49.67,61.99,2.85,94,5,4.09
Clifton Springs,-77.14,42.96,22.23,26,1,2.1
Feijo,-79.92,-3.63,29.24,83,90,4.1
Kampot,104.18,10.62,26.0,94,75,1.0
Yamada,137.08,36.58,23.18,41,90,3.6
Krasnovishersk,57.08,60.4,14.55,94,100,3.91
Opuwo,13.84,-18.06,19.65,28,0,2.15
Takoradi,-1.75,4.89,25.95,86,100,2.18
Limbang,115.01,4.75,26.86,83,75,0.5
Mola di Bari,17.09,41.06,18.92,77,0,4.6
Nabire,135.5,-3.36,21.05,99,100,0.81
Kaeo,173.78,-35.1,17.22,100,75,5.97
Upata,-62.41,8.02,31.05,59,100,2.14
Katherine,132.26,-14.47,16.0,63,12,3.6
Byron Bay,153.62,-28.65,10.46,81,0,2.64
Karratha,116.85,-20.74,24.95,32,0,3.62
Puerto del Rosario,-13.86,28.5,24.31,54,20,7.7
Ilebo,20.59,-4.33,24.05,84,100,0.79
Magaria,8.91,13.0,34.85,30,88,6.78
Saint Anthony,-111.68,43.97,10.52,54,90,5.91
Soyaux,0.19,45.64,17.58,72,71,5.1
Dong Hoi,106.6,17.48,27.25,74,100,2.04
Afsin,36.91,38.25,14.25,40,27,2.68
Haldensleben,11.41,52.29,18.68,42,0,3.1
Cordoba,-73.79,5.59,23.15,68,85,1.56
Nicoya,-85.45,10.15,22.33,94,75,2.1
Isangel,169.27,-19.55,24.75,76,6,3.0
Wanning,13.53,48.64,15.32,87,75,1.0
Nelson Bay,152.14,-32.72,7.61,70,0,3.6
Richards Bay,32.06,-28.77,22.65,72,57,8.17
Mogadishu,45.34,2.04,26.35,83,67,4.95
Les Escoumins,-69.4,48.35,12.85,32,1,4.26
Huron,-98.21,44.36,15.46,77,90,6.2
Codajas,-62.06,-3.84,32.25,56,78,1.46
Kununurra,128.74,-15.77,20.0,49,72,2.1
Eyl,49.82,7.98,28.55,79,62,7.0
Svetlogorsk,59.15,53.14,16.0,29,75,5.0
Kirakira,161.92,-10.46,26.65,85,100,3.81
Vohibinany,49.03,-17.35,16.85,99,73,1.16
Saint-Augustin,-0.61,44.83,16.48,72,20,5.7
Half Moon Bay,-122.43,37.46,15.17,82,90,4.1
Amboasary,46.38,-25.04,21.0,94,40,6.2
Udachnyy,112.4,66.42,9.0,61,0,3.0
Hay River,-115.79,60.82,12.0,54,75,4.6
Diffa,12.61,13.32,37.25,8,21,3.03
Southbridge,-72.03,42.08,25.75,31,40,3.6
Celestun,-90.4,20.87,29.65,69,25,4.66
Houston,-95.37,29.76,31.66,43,40,4.1
Rheinbach,6.95,50.63,16.41,51,0,3.1
Bartica,-58.62,6.41,34.0,56,40,4.1
Russell,-68.8,-33.01,15.0,38,0,1.5
Dothan,-85.39,31.22,34.3,32,1,3.6
Ushumun,126.54,52.78,8.15,87,100,5.7
Segesd,17.35,46.35,16.08,93,75,0.5
Malente,10.56,54.17,14.32,66,0,5.1
Olenegorsk,33.28,68.14,8.25,55,86,4.62
Tezu,96.16,27.93,23.25,59,1,1.8
Ostrovnoy,39.51,68.05,1.45,80,92,5.11
Sao Jose da Coroa Grande,-35.15,-8.9,26.05,79,94,2.09
Karakol,78.39,42.49,9.55,66,92,1.95
Padang,100.36,-0.92,29.55,75,98,3.61
Nova Olimpia,-57.29,-14.8,32.25,54,41,1.14
Roald,6.12,62.58,4.39,70,75,4.1
Batamshinskiy,58.27,50.56,13.0,32,0,4.0
Vestmannaeyjar,-20.27,63.44,11.0,76,0,8.2
Villavieja,-75.22,3.22,32.0,46,40,2.6
Santa Cruz,-122.03,36.97,16.05,59,20,2.6
Aswan,32.9,24.09,38.85,7,62,4.34
Bella Vista,-59.05,-28.51,18.55,86,100,2.34
Mont-Dore,166.53,-22.23,19.0,93,90,1.5
Berlevag,29.09,70.86,3.45,80,0,12.3
Jonesboro,-90.7,35.84,30.31,48,1,7.2
Mocuba,36.99,-16.84,17.55,96,3,1.53
Muhos,26.0,64.81,11.6,54,0,0.5
Sabang,123.58,13.72,28.15,79,93,2.29
Cockburn Town,-71.14,21.46,26.75,78,100,3.92
Qarqin,66.03,37.41,30.55,12,0,3.15
Denpasar,115.22,-8.65,27.0,88,40,3.6
Lewiston,-117.02,46.42,17.69,48,1,3.49
Manaure,-72.45,11.78,30.0,74,75,7.2
Spas-Demensk,34.03,54.41,15.15,93,63,2.7
Sobolevo,31.9,54.43,15.65,86,55,2.8
Tondano,124.91,1.3,23.0,94,20,1.0
Komsomolskiy,63.78,67.55,1.35,99,100,3.28
Nizhnyaya Poyma,97.2,56.16,5.65,68,70,2.43
Kimberley,24.76,-28.74,15.0,47,0,3.1
Labuhan,115.51,-2.54,23.75,93,82,1.19
Caravelas,-39.27,-17.73,24.35,89,78,2.0
Chicama,-79.15,-7.84,21.0,77,40,4.1
Burns Lake,-125.76,54.23,23.65,27,3,0.96
Kropotkin,40.58,45.43,16.55,89,46,2.65
Yerofey Pavlovich,121.97,53.97,2.45,64,33,3.23
Raquira,-73.63,5.54,23.15,68,85,1.56
Dombarovskiy,59.54,50.76,17.25,31,66,5.02
Buchanan,-10.05,5.88,27.15,82,100,4.93
Fez,-5.02,34.03,31.45,17,0,6.2
Kouango,19.98,4.99,23.85,82,100,1.59
Semey,80.25,50.41,11.55,45,0,2.68
Concordia,-58.02,-31.4,20.56,74,100,2.68
Shablykino,35.2,52.85,15.65,89,28,3.28
Turukhansk,87.96,65.8,0.05,86,55,2.87
Mandera,41.86,3.94,28.95,55,54,6.36
Vestmanna,-7.17,62.16,4.0,69,98,6.2
Dawei,98.19,14.07,28.65,76,100,1.41
Yeniseysk,92.17,58.45,4.75,64,32,2.12
Chambas,-78.91,22.19,29.0,62,40,7.2
Payson,-111.73,40.04,14.12,62,40,4.6
Khash,61.21,28.22,23.85,16,0,2.46
Xunchang,104.71,28.45,19.95,52,53,1.3
Norman Wells,-126.83,65.28,18.0,52,75,5.7
Coxim,-54.75,-18.5,33.45,40,0,3.53
Tiangua,-40.99,-3.73,29.75,59,58,4.17
Lata,78.62,30.78,-1.65,72,12,4.63
Tshikapa,20.79,-6.42,24.55,60,58,1.53
San Jose el Alto,-100.37,20.65,27.12,41,75,5.1
Mae Sai,99.89,20.44,28.0,69,0,3.6
Yumen,97.04,40.29,17.15,16,35,4.66
Fort Nelson,-122.69,58.81,23.0,40,40,3.1
Selma,-119.61,36.57,15.61,62,40,2.1
Kisesa,33.05,-2.55,23.95,58,97,1.1
Otane,176.62,-39.89,5.56,92,57,1.15
Dossor,52.98,47.52,20.65,68,1,7.27
Kabanjahe,98.49,3.1,25.71,100,40,1.5
Tanout,8.88,14.97,36.75,17,83,4.53
Bichura,107.6,50.59,7.75,51,14,1.17
Hope,-121.43,49.38,22.52,46,1,3.1
Seoul,126.98,37.57,12.83,58,1,3.1
Puerto Penasco,-113.53,31.32,22.22,41,0,3.13
Mattru,-11.83,7.62,28.35,74,72,3.39
Doha,51.53,25.29,32.7,55,0,3.6
Kamra,72.39,33.86,24.95,33,0,2.1
Lady Frere,27.23,-31.7,12.05,66,100,1.51
Paka,18.06,45.29,18.37,77,0,4.1
Eskisehir,30.52,39.78,21.04,46,0,1.0
Plover,-89.54,44.46,11.58,93,90,7.2
Bocas del Toro,-82.25,9.33,30.25,70,79,2.91
Hecelchakan,-90.13,20.17,34.0,46,40,5.1
Pryamitsyno,35.93,51.66,16.53,67,0,2.0
Dongsheng,112.52,29.72,20.75,55,0,4.88
Chupa,-69.99,-15.11,17.0,23,0,2.6
Trzcianka,16.46,53.04,17.22,87,46,1.44
Okhotsk,143.24,59.36,4.95,84,23,1.88
Saint-Georges,-70.67,46.12,12.96,48,40,2.24
Kalmunai,81.82,7.42,26.25,89,61,1.15
Kautokeino,23.04,69.01,9.25,62,100,2.71
Narasannapeta,84.04,18.42,29.45,85,1,2.92
Port Hardy,-127.42,50.7,13.0,82,5,2.6
Markova,104.21,52.21,8.19,61,0,10.0
Bereda,-7.54,43.27,14.91,77,20,5.1
Pontianak,109.34,-0.02,29.05,74,99,2.45
Osa,55.46,57.28,14.45,95,73,4.01
Brownfield,-102.27,33.18,31.93,40,90,6.7
Bilibino,166.44,68.06,0.65,97,95,0.89
Karasburg,18.75,-28.01,19.85,27,16,1.94
Tessalit,1.01,20.2,40.25,8,0,4.72
Faanui,-151.75,-16.48,27.75,71,0,1.27
